achievements_title;Milestones
erthu_chrwa_miners_mark_name;Miner's Mark
erthu_chrwa_myopic_lens_desc;Your damage is drastically increased, but it alternates between your primary and secondary weapon
erthu_chrwa_myopic_lens_desc_override_magicwand;Spell and Incantation damage alternates between high and low values, but averages higher overall.
erthu_chrwa_myopic_lens_name;Myopic Lens
erthu_chrwa_needle_of_oroborous_desc;Ranged strikes deal drastically increased damage, but misses damage you
erthu_chrwa_needle_of_oroborous_name;Needle of Oroborous
erthu_chrwa_old_pouch_desc;Gain twenty-five coins
erthu_chrwa_old_pouch_name;Old Pouch
erthu_chrwa_ominous_fingerprint_desc;Slightly increases ranged damage
erthu_chrwa_ominous_fingerprint_desc_override_magicwand;Slightly increases spell damage
erthu_chrwa_ominous_fingerprint_name;Ominous Fingerprint
erthu_chrwa_overstock_flyer_desc;Merchants offer another item for sale after one is purchased
erthu_chrwa_overstock_flyer_name;Overstock Flyer
erthu_chrwa_packrat_mandible_desc;Significantly increases all characteristics, but acquiring other relics will damage you
erthu_chrwa_packrat_mandible_name;Packrat Mandible
erthu_chrwa_penitents_mark_desc;Once charged, sacrifice a small amount of health to have a chance to receive a random relic
erthu_chrwa_penitents_mark_name;Penitent's Mark
erthu_chrwa_penny_whistle_desc;Gain twenty coins after completing an area
erthu_chrwa_penny_whistle_name;Penny Whistle
erthu_chrwa_pickaxe_head_desc;Striking the ground with your melee weapon produces a line of damaging spikes
erthu_chrwa_pickaxe_head_desc_override_magicwand;Your tome sweep attack produces a line of damaging spikes
erthu_chrwa_pickaxe_head_name;Pickaxe Head
erthu_chrwa_pit_friend_desc;Throwing food into pits has a chance to improve a random characteristic
erthu_chrwa_pit_friend_name;Pit Friend
erthu_chrwa_porcupine_quills_desc;Ranged attacks produce a burst of quills in addition to your projectile
erthu_chrwa_porcupine_quills_name;Porcupine Quills
erthu_chrwa_possessed_hammer_desc;Increases the size of your melee weapon
erthu_chrwa_possessed_hammer_desc_override_magicwand;Increases the size and damage of your basic spell orbs
erthu_chrwa_possessed_hammer_name;Possessed Hammer
erthu_chrwa_potluck_ladle_desc;Rare relics may appear where they previously could not
erthu_chrwa_potluck_ladle_name;Potluck Ladle
erthu_chrwa_pristine_fletching_desc;Your projectile speed is massively increased and critical chance is slightly increased.
erthu_chrwa_pristine_fletching_desc_override_magicwand;Your spell orbs travel massively faster and have a slightly increased critical chance.
erthu_chrwa_pristine_fletching_name;Pristine Fletching
erthu_chrwa_promotional_flyer_desc;The next merchant visited will offer a free item
erthu_chrwa_promotional_flyer_name;Promotional Flyer
erthu_chrwa_punctured_breastplate_desc;Ranged strikes have a chance to do massively more damage
erthu_chrwa_punctured_breastplate_name;Punctured Breastplate
erthu_chrwa_rabid_bearskin_desc;Gain a brief period of invulnerability after destroying an enemy
erthu_chrwa_rabid_bearskin_name;Rabid Bearskin
erthu_chrwa_relentless_orchestrina_desc;Summon an eternal wisp companion
erthu_chrwa_relentless_orchestrina_name;Relentless Orchestrina
erthu_chrwa_resolute_heart_desc;On hit, gain invincibility for a few seconds
erthu_chrwa_resolute_heart_name;Resolute Heart
erthu_chrwa_rodent_cache_desc;Gain an assortment of simple items
erthu_chrwa_rodent_cache_name;Rodent Cache
erthu_chrwa_rusty_keyring_desc;Enemies may drop keys when destroyed
erthu_chrwa_rusty_keyring_name;Rusty Keyring
erthu_chrwa_sharpened_eagle_talon_desc;Projectiles seek their target
erthu_chrwa_sharpened_eagle_talon_name;Sharpened Eagle Talon
erthu_chrwa_shattered_mirror_desc;Moderately increases all characteristics, but significantly decreases luck
erthu_chrwa_shattered_mirror_name;Shattered Mirror
erthu_chrwa_sheet_music_desc;Enemies have a chance to spawn a wisp when destroyed
erthu_chrwa_sheet_music_name;Sheet Music
erthu_chrwa_silk_chain_desc;Ranged strikes teleport enemies to you
erthu_chrwa_silk_chain_name;Silk Chain
erthu_chrwa_silver_chime_desc;Weapon strikes have a chance to summon wisps
erthu_chrwa_silver_chime_name;Silver Chime
erthu_chrwa_silver_spoon_desc;Marks have a chance to charge when coins are collected
erthu_chrwa_silver_spoon_name;Silver Spoon
erthu_chrwa_slobbering_totem_desc;Consumes all of your keys and coins, but increases weapon damage accordingly
erthu_chrwa_slobbering_totem_name;Slobbering Totem
erthu_chrwa_sprout_of_ivy_desc;Your melee weapon slowly increases in size and damage, but resets after each strike
erthu_chrwa_sprout_of_ivy_desc_override_magicwand;Your orbs start small and weak, but grow in size and damage as they travel farther
erthu_chrwa_sprout_of_ivy_name;Sprout of Ivy
erthu_chrwa_stone_arrowhead_desc;Drastically increases weapon damage against flying enemies
erthu_chrwa_stone_arrowhead_name;Stone Arrowhead
erthu_chrwa_swollen_tick_desc;Enemies explode when destroyed
erthu_chrwa_swollen_tick_name;Swollen Tick
erthu_chrwa_thiefs_mark_desc;Once charged, use to gain a random relic
erthu_chrwa_thiefs_mark_name;Thief's Mark
erthu_chrwa_third_card_monte_desc;Moderately increases two characteristics, but significantly decreases another
erthu_chrwa_third_card_monte_name;Third Card Monte
erthu_chrwa_three_leaf_clover_desc;Slightly increases your luck.
erthu_chrwa_three_leaf_clover_name;Three Leaf Clover
erthu_chrwa_threshing_blade_desc;Weapon damage is divided equally among nearby enemies
erthu_chrwa_threshing_blade_name;Threshing Blade
erthu_chrwa_thrice_baked_beans_desc;You leave a trail of burning magma behind when moving
erthu_chrwa_thrice_baked_beans_name;Thrice-Baked Beans
erthu_chrwa_thundering_gong_desc;Melee strikes deal a small amount of damage to nearby enemies
erthu_chrwa_thundering_gong_desc_override_magicwand;Incantation attacks deal a small amount of damage to nearby enemies
erthu_chrwa_thundering_gong_name;Thundering Gong
erthu_chrwa_tight_breeches_desc;Significantly increases all characteristics, but you can no longer store items
erthu_chrwa_tight_breeches_name;Tight Breeches
erthu_chrwa_tincture_of_beast_bile_desc;You probably shouldn't drink this...
erthu_chrwa_tincture_of_beast_bile_name;Tincture of Beast Bile
erthu_chrwa_tortured_heart_desc;Gain one protection but your stats are lowered as long as its active
erthu_chrwa_tortured_heart_name;Tortured Heart
erthu_chrwa_toy_piano_desc;Gain two keys after completing an area
erthu_chrwa_toy_piano_name;Toy Piano
erthu_chrwa_treasure_map_desc;Subsequent areas will contain more chests
erthu_chrwa_treasure_map_name;Treasure Map
erthu_chrwa_tress_of_silken_hair_desc;You have a chance to gain some protection after destroying an enemy
erthu_chrwa_tress_of_silken_hair_name;Tress of Silken Hair
erthu_chrwa_twice_baked_beans_desc;You leave a trail of poisonous gas behind when moving
erthu_chrwa_twice_baked_beans_name;Twice-Baked Beans
erthu_chrwa_two_headed_coin_desc;Slightly increases all characteristics
erthu_chrwa_two_headed_coin_name;Two-Headed Coin
erthu_chrwa_valued_customer_card_desc;Drastically increases merchant discount
erthu_chrwa_valued_customer_card_name;Valued Customer Card
erthu_chrwa_velvet_purse_desc;Gain one hundred coins
erthu_chrwa_velvet_purse_name;Velvet Purse
erthu_chrwa_vial_of_blue_blood_desc;When hit, your number of coins decrease instead of your health
erthu_chrwa_vial_of_blue_blood_name;Vial of Blue Blood
erthu_chrwa_vicious_barb_desc;Projectiles deal continuous damage while embedded in an enemy
erthu_chrwa_vicious_barb_desc_override_magicwand;Your attacks have a chance to cause a bleeding effect on enemies
erthu_chrwa_vicious_barb_name;Vicious Barb
erthu_chrwa_warthog_underbelly_desc;Significantly increases weapon damage, but incoming damage is also increased
erthu_chrwa_warthog_underbelly_name;Warthog Underbelly
erthu_chrwa_weak_link_desc;Slightly increases evasion
erthu_chrwa_weak_link_name;Weak Link
erthu_chrwa_whipping_toy_desc;When hit by a boss the first time, you take no damage
erthu_chrwa_whipping_toy_name;Whipping Toy
erthu_chrwa_winged_shoe_desc;You float for four seconds when stepping over a pit
erthu_chrwa_winged_shoe_name;Winged Shoe
erthu_chrwa_winsome_heart_desc;Gain one protection and charm shopkeepers for lesser prices
erthu_chrwa_winsome_heart_name;Winsome Heart
erthu_chrwa_withered_sapling_desc;Pots may contain apples
erthu_chrwa_withered_sapling_name;Withered Sapling
erthu_chrwa_wolf_fang_desc;When hit, your next few weapon strikes do massively more damage
erthu_chrwa_wolf_fang_name;Wolf Fang
erthu_chrwa_wool_slippers_desc;Significantly increases evasion
erthu_chrwa_wool_slippers_name;Wool Slippers
first_time_food_hint;You can store objects in your wrist slots!
first_time_hint_menu_prompt_b;Press B to open/close the menu
first_time_hint_menu_prompt_menu;Press menu button to open/close the menu
first_time_hint_menu_prompt_y;Press Y to open/close the menu
first_time_hint_press_a_activate_item;Press A to activate an activatable item
first_time_hint_press_grip_activate_item;Press Grip to activate an activatable item
first_time_hint_press_trigger_for_knife;Press Trigger to equip and throw your knife
first_time_hint_sword_prompt_b;Press B to equip/unequip your sword
first_time_hint_sword_prompt_menu;Press menu button to equip/unequip your sword
first_time_hint_sword_prompt_y;Press Y to equip/unequip your sword
first_time_setup_lower_desc;For more advanced settings and configuration<br>(seated mode, snap/smooth turning, modding) open<br>the settings menu from the main menu!
first_time_setup_move_with;Move with
first_time_setup_title;First time setup
first_time_setup_upper_desc;Welcome to Ancient Dungeon, to get started, please set up your controls.
forgotten_library;The Forgotten Library
forgotten_library_text;I write these words surrounded by lost knowledge, endless books on endless shelves. For the first time, I wonder if mankind has forgotten more than we have retained.<br><br>I cannot carry more than one or two books with me. Hopefully, my map will lead a greater contingent here in the future.<br><br>Concerning the map...it has grown complex, and...contradictory? It is impossible, but it seems this place is moving.<br><br>
forgotten_library_title;Forgotten Library
gambler_delve_desc;The Gambler reveled in risk. The dungeon will gift its boons at random, for weal or woe.
gambler_delve_name;The Gambler's Delve
gambler_delve_random_items_applied;Random items applied:
game_over_difficulty_multiplier;Difficulty Multiplier:
game_over_end_run;End Run
game_over_enemies_killed;Creatures slain:
game_over_floors_completed;Floors completed:
game_over_insight;Insight
game_over_money_spent;Money spent:
game_over_new_items;New Relics found:
game_over_new_milestones;New Milestones reached:
game_over_new_pages;New Journal Pages Collected:
game_over_text_part1;Adventurer #
game_over_text_part2;has perished while exploring the Ancient Dungeon. Though the death is lamentable, I am happy to report that my observation of the delve has provided the following additions to our current body of knowledge:
game_over_text_part2_no_unlocks;has perished while exploring The Ancient Dungeon...
game_over_text_part3;As always, I will ensure all information is promptly and accurately recorded. In terms of The Grand Library’s standard numerical abstraction, I have gained
game_over_text_part3_no_unlocks;...but who cares? The delve supplied no new information whatsoever. My only hope is that the desiccated corpse inspires greater caution in those who follow. I do hate my time being wasted.
game_over_text_part4;Insight, which will surely aid my research efforts.
game_over_title;You are dead!
arena_ended_title;Arena Ended
give_up;Give Up
gloaming_mines;The Gloaming Mines
gloaming_mines_text;This place does move. My map is a tangle and I am lost. I continue...forward? Backward? In any case, I have kept moving. I have abandoned all my aspirations now and only hope to survive.<br><br>My surroundings have gone from hallways with sconces to caverns only lit by glowing crystals. <br><br>Worst of all, I am not alone. I have heard beasts in the shadows. Hopefully a sturdy walking stick and some stern words are enough to fend them off.<br>
gloaming_mines_title;Gloaming Mines
hard_mode;Hard Mode
highlight_active_item;Active Relic
highlight_lore_item;Lore Relic
highlight_shared_item;Shared Relic
highlight_vanishes_on_death;Vanishes on death
homebase_title_the_ancient_dungeon;The Ancient Dungeon
how_to_play_activate_item;Activate Relic
how_to_play_equip_knife;Equip Throwing Knife / Interact
how_to_play_equip_sword;Equip / Unequip Sword
how_to_play_grab_objects;Grab Objects
how_to_play_quick_inv;<color="yellow">Look</color> at your <color="yellow">left hand</color> (like a watch) to see the minimap and the quick inventory (hp, cash, keys, etc.)
how_to_play_slots;You have two <color="yellow">inventory slots</color>. One on each wrist.
how_to_play_stats;Stats / Settings
how_to_play_title;How to play
how_to_play_walk;Walk
hue;Hue
hunter_delve_desc;The Hunter demanded only the greatest of prey. The dungeon will accommodate.
hunter_delve_name;The Hunter's Delve
index;Index
infested_dungeon;The Infested Dungeon
infested_dungeon_text;I believe my current location was an actual dungeon at some point. Iron-barred cells are common, and I have crushed a good number of bones under my clumsy feet.<br><br>Uncommon, however, is the red fungus that grows here. I have collected a sample to study, which, perhaps fortunately, has caused a cinnamon smell to pervade my pack.<br><br>The map is progressing, as best it can. This place resembles nothing so much as a mass of knotted rope.<br><br>
infested_dungeon_title;Infested Dungeon
insight_board_locked;The Insight Board is locked until all players have unlocked it
insight_category_boss;Boss
insight_category_items;Items
insight_category_misc;Misc
insight_category_secret;Secret
insight_category_shop;Shop
insight_category_world;World
insight_shop_buy_for;Buy for
insight_shop_cant_afford;Can't afford
insight_shop_title;Current Research
introduction_screen_message;The legend of the Ancient Dungeon has been told for eons, an ever-shifting labyrinth of corridors and caverns, brimming with wealth.<br><br><br>Acolytes of the Grand Library have located a way inside, and have put forth a call throughout the land bidding every brave soul to enter and--perhaps--escape, with all the fame and fortune such a triumph entails.<br><br><br>You heard that call, and now, after a long journey, have arrived...
item_Apple_desc;Regenerates one heart
item_Apple_name;Apple
item_Beet_desc;Regenerates half a heart and increases critical hit chance until hit
item_Beet_name;Beet
item_Cheese_desc;Regenerates one heart, increases melee damage and evasion until hit
item_Cheese_name;Cheese
item_Chicken_desc;Regenerates two hearts and increases all stats until hit
item_Chicken_name;Chicken
item_compendium_locked;Locked
item_compendium_not_found;You have not found this item yet
item_compendium_title;Compendium
item_Dragonfruit_desc;Regenerates 3 hearts
item_Dragonfruit_name;Dragonfruit
item_erthu_chiming_orb_desc;Throw to summon a few helpful wisps
item_erthu_chiming_orb_name;Chiming Orb
item_erthu_contracting_orb_desc;Throw to temporarily reduce the size of anything nearby.
item_erthu_contracting_orb_name;Contracting Orb
item_erthu_demanding_orb_desc;Throw at your feet to deal one additional damage until the next time you get hit.
item_erthu_demanding_orb_name;Demanding Orb
item_erthu_flickering_orb_desc;Throw at your feet to temporarily increase your movement speed.
item_erthu_flickering_orb_name;Flickering Orb
item_erthu_glittering_orb_desc;Throw to transform nearby enemies or objects in gold.
item_erthu_glittering_orb_name;Glittering Orb
item_erthu_lethal_orb_desc;Throw at your feet to increase damage and crit chance, but your movement speed is lowered.
item_erthu_lethal_orb_name;Lethal Orb
item_sebwr_black_friday_orb_name;Merchant's Recall
item_sebwr_black_friday_orb_desc;Throw to teleport back to the area merchant (disappears when entering boss rooms)
item_erthu_noxious_orb_desc;Throw to release a cloud of poisonous gas.
item_erthu_noxious_orb_name;Noxious Orb
item_erthu_orb_of_obliteration_desc;Throw to cause an explosion that deals massive damage
item_erthu_orb_of_obliteration_name;Orb of Obliteration
item_erthu_potion_of_focus_desc;Throw at your feet to temporarily slow the world around you.
item_erthu_potion_of_focus_name;Orb of Focus
item_erthu_potion_of_fury_desc;Throw at your feet to temporarily deal increased damage.
item_erthu_potion_of_fury_name;Orb of Fury
item_erthu_potion_of_protection_desc;Throw at your feet to temporarily become invincible.
item_erthu_potion_of_protection_name;Orb of Protection
item_erthu_unstable_orb_desc;Throw to cause an explosion that deals huge amounts of damage.
item_erthu_unstable_orb_name;Unstable Orb
item_journal_page_desc;???
item_journal_page_name;Journal Page
item_journal_page_picked_up_desc;You already collected this journal page, but other players might still want to pick it up.
item_journal_page_picked_up_name;Journal Page
item_Lock_desc;Trigger to unlock
item_Lock_name;Lock
item_Orange_desc;Regenerates half a heart. Regenerates half a heart two additional times after clearing some rooms.
item_Orange_name;Orange
item_Pear_desc;Regenerates one heart and increases damage until hit
item_Pear_name;Pear
item_Plum_desc;Regenerates one heart and increases evasion until hit
item_Plum_name;Plum
item_Potato_desc;Regenerates half a heart
item_Potato_name;Potato
item_Revive Player_desc;Costs you half your health! (Need at least 1 full heart)
item_Revive Player_name;Revive Player
item_Save and Quit_desc;Need a break? Save your run and quit to main menu to continue later...
item_Save and Quit_name;Save and Quit
item_sebwr_magma_orb_desc;Throw to fill the ground with magma that sets enemies on fire.
item_sebwr_magma_orb_name;Magma Orb
item_Steak_desc;Regenerates 2 hearts
item_Steak_name;Steak
item_Yam_desc;Grants half a protection heart
item_Yam_name;Yam
join_discord;Join Discord
journal_collection_title;Journal Pages
keys;Keys
left;Left
left_controller;Left Controller
left_hand;Left Hand
locked;Locked
lore_id_10_text;I took big risks, mad risks, to hear others tell it. I lived like a king one day, a pauper the next. I loved it, every day could be anything, and I knew every poor bit of luck would just make the next taste of good fortune that much sweeter. So, when I heard that the Ancient Dungeon had popped up again, you bet I set out for it that very day. I was off to risk it all, and I could barely hold my bones still for all the excitement of it.
lore_id_10_title;Page 2
lore_id_11_text;I lay the fault of my death at the feet of the Grand Library. After being ousted and vilified for my research by the masters, I was forced to live as an exile in the woods, living on small game and whatever pittance desperate villagers would trade for my “sacrilegious” potions. Such sacrilege was hard work, though, and so it was that, as I scraped moss from a random cavern’s wall, daylight suddenly disappeared with a great cracking noise and I was lost in darkness.
lore_id_11_title;Page 1
lore_id_12_text;Now, I was no great warrior, but I took big swings. I tore through every hall I wandered into, giving as good as I got (and I got quite a bit). The journey was rough, but I was nearly mad with excitement! Gold coins lay about like rubbish, and magical treasures let me do things I couldn't believe. The further I went, the more likely my escape seemed. Big mistake, that. I should have known better. The universe is a fickle sort of thing.
lore_id_12_title;Page 3
lore_id_13_text;I got bigger and stronger and very good at fighting. The new people are my first friends. They give me food and presents. I have a big ax and a bear hat and a little dress. My friends say it is not a dress it is a killed. I did not kill it though because it is just a dress. I did kill the bad people and my friends like me more now. But once I killed one of my friends by mistake and I think that my friends did not like that.
lore_id_13_title;Page 2
lore_id_1_text;I had it all figured out a long time ago. Other folks, they make big plans, shore up piles of wealth, all thinking it gives them some sort of control on their life.<br>Then those plans fall through, that wealth is snatched away, and they're no better than they started.<br>Not me, though, I saw the world for what it was: a big pile of random chance. No point in fighting it, better to roll right along with it, and enjoy the ride.<br>
lore_id_1_title;Page 1
lore_id_2001_text;The “sciences”, as defined by my peers and forebears, have been triumphed. The great discoveries have been made, so I turn my attention to those spheres of knowledge yet untouched.<br><br>“Magic”, to use the broadest term.<br><br>My work will surely be spurned by most scholars. Even so, I intend that it will not--cannot--be ignored.
lore_id_2001_title;Page 1
lore_id_2002_text;I feel like an unlucky miner, forever bashing at rock without uncovering the slightest gleam of metal.<br><br>For every bit of sense that I uncover a bucket of nonsense follows. It seems that, much like science, the practitioners of magic are composed of a few brilliant minds whose genius is drowned in a sea of foolish utterances. <br><br>No matter. I will collect all the bits until the truth is plain.
lore_id_2002_title;Page 2
lore_id_2003_text;Day the Seventy-Second of the Third Season, Year 1265<br><br>I have done it. I have worked magic.<br><br>A small thing, perhaps: A single tongue of flame, perched on the end of my fingertip, seemingly “summoned” from nothing.<br><br>I spoke no arcane words, nor drew complex symbols. Simply a singular will, a belief that it could happen...and suddenly it did.
lore_id_2003_title;Page 3
lore_id_2004_text;Day the Third of the Fourth Season, Year 1265<br><br>The strength of my ability seems to vary both according to my “focus” and, oddly, my location.<br><br>Concerning focus, I have observed my flame grows and shrinks in accordance with my vigor. Early morning and midday is ideal.<br><br>Concerning location...I am uncertain. The third larder seems best, producing a flame both large and bright, but I see no reason why. Further study is needed.
lore_id_2004_title;Page 4
lore_id_2005_text;Day the Thirty-First of the First Season, Year 1266<br><br>A breakthrough! Today, after emerging from the larder, a kitchen servant asked, “You lookin’ for the ghost?”<br><br>It seems the servants have long regarded a section of the basement--directly below the larder--to be haunted. Upon investigating the previously unknown location, I found my power accentuated further.<br><br>I am relocating my studies to this area. Greatness awaits.
lore_id_2005_title;Page 5
lore_id_2006_text;Day the Fourth of the Second Season, Year 1266<br><br>After a great deal of effort on my (and my servants’) part, the entirety of my laboratory has been moved to the basement. I have arranged my instruments around the particular point in space where my flame is most brilliant.<br><br>And, truly, that is all. While I have bent my mind towards the working of other magics, a simple flame continues to be the height of my achievement. Certainly I lack some key insight.<br><br>Experimentation has yielded its fruit. Back to the books!
lore_id_2006_title;Page 6
lore_id_2007_text;Day the Eleventh of the Third Season, Year 1266<br><br>How true it is that we all play the fool, both the mighty and the meager!<br><br>The rites and rituals I dismissed as theatrical nonsense early in my studies have proven to be key to working greater magics. In my new location, the movements and incantations specified have wrought a grand variety of wonders.<br><br>It occurs to me now that my records and references must be secured. My discoveries could readily be put to ill use.
lore_id_2007_title;Page 7
lore_id_2008_text;Day the Fifteenth of the First Season, Year 1267<br><br>Nearly two seasons since my last entry, but it seems like a lifetime.<br><br>My mind has been set afire by all that I’ve learned. Where once I mimicked the activity of greater men, I now stand among them, able to create entirely new magics.<br><br>Sadly, I believe I have reached the limits of this particular locus. As such, I am preparing for travel. If “unnatural” phenomena are an earmark of such loci, there are many places to explore.
lore_id_2008_title;Page 8
lore_id_2009_text;Day the Fifth of the Third Season, Year 1268<br><br>Finally! Months of grueling travel with naught to show for it save blisters, but finally success!<br><br>We have not yet arrived at the locus, but I can feel it, like a dry sponge in a sudden rain. I am aglow with the power of this place!<br><br>This evening, once my retinue is asleep, I will conjure a flame to confirm my feelings. This part of the world is rather simple, the locals’ reaction to my abilities could be…unpleasant. 
lore_id_2009_title;Page 9
lore_id_2010_text;You made a mistake, rich man. Poor don’t mean stupid, no more than rich means smart.<br><br>I been all over, seen things, magic things, here and there. Been lookin’ for more, and up you pop, stinkin’ of magic and skulking about for more, just like me.<br><br>You can do it, though, I saw, when you thought no one was about. Gonna get your secrets, rich man, no matter what I gotta do.
lore_id_2010_title;Page 1
lore_id_2011_text;Day the Twenty-Fifth of the Third Season, Year 1268<br><br>It is more than I hoped and worse than I feared.<br><br>The power of this place…is terrifying. I fear that if I were to conjure a breeze, a mountain might topple.<br><br>As such, I will only study this phenomenon. Nothing is apparent to the eyes, but I sense this locus with something keener, some ineffable organ I did not realize I possessed.<br><br>I wonder, do all great men fear their discoveries as I do?
lore_id_2011_title;Page 10
lore_id_2012_text;Just stares and scribbles, all day, for weeks now.<br><br>At nothing! Stares at nothing! Maybe the rich man is a crazy man…or maybe he sees something I don’t.<br><br>I want that book he scribbles in, all full and bursting with magics, I bet. But he keeps it close, sleeps with it under all his silks and velvets.<br><br>Need him to trust me, and know just the way. Play a fool, play a dolt, ‘til he thinks I’m simple as a babe, not like to understand a thing.
lore_id_2012_title;Page 2
lore_id_2013_text;Day the Forty-Fourth of the Fourth Season, Year 1268<br><br>I will be returning to my home soon, with great haste.<br><br>The things I have learned…should not be discovered in such a painfully exposed setting. Though it is more than an impossibility that my company of guides and servants could grasp the merest shred of this place’s truth, the rumors they could spread may bring unwanted attention.<br><br>I will leave in two days with only a single servant. The man is older than I would prefer, but simple-minded enough that I need not fear his observations.
lore_id_2013_title;Page 11
lore_id_2014_text;Dead of night, rich man’s fast asleep, I probably shouldn’t write nothin’ (dumb folks can’t write), but I gotta gloat to somebody, even just myself.<br><br>I should be on a stage, sure as anything! Never thought I was much of an actor, but guess I was wrong. I scrape and gawp and look an absolute fool to anyone looking, for certain!<br><br>The rich man still keeps his secrets close, but I can see him loosening, like drawstrings on a cheap money pouch. Just a matter of time, now…
lore_id_2014_title;Page 3
lore_id_2015_text;Day the Second of the Second Season, Year 1269<br><br>Finally, home.<br><br>My first order of business on returning was to further secure my laboratory. The door has been replaced with a sturdy oak slab covered with iron locks. I make an awful clanging with the keys each morning, but the necessity is clear.<br><br>With some hesitation, I will attempt to apply what I learned abroad here. Caution will be paramount, but this locus must be strengthened if I am to progress my studies safely.
lore_id_2015_title;Page 12
lore_id_2016_text;Thick stone and hearthfire in every corner! Can’t hardly believe it, how rich one man can be and how poor another.<br><br>No bother, though, here I am, cozy as can be. Rich man thinks me an idiot, lets only me down to his lab to serve him his tea and biscuits. Thinks I can’t sus a bit of what I see, but I do. Been writing down every scrap I can recall, see if I can’t make some magic myself!
lore_id_2016_title;Page 4
lore_id_2017_text;Day the Thirty-Ninth of the Second Season, Year 1269<br><br>I have finally managed to strengthen my locus, though “strengthen” may not be the best word for it. “Widen” would be better, as I now believe it to be a “tear” in our reality, with some other reality beyond it.<br><br>Slowly, carefully, I have been plucking at its edges, widening it by almost imperceptible increments. I do perceive it, though, like a faint ray of sunlight on my skin. My power has grown.<br><br>A bit more, then I will stop. The process is intoxicating, but I shall not drink to satisfaction.
lore_id_2017_title;Page 13
lore_id_20_text;I entered the Ancient Dungeon with great optimism and sense of purpose. I had worked hard among my peers, but had never found a chance by which to truly distinguish myself. Then it came: by great luck, another entrance into the Ancient Dungeon had been found within my lifetime. Immediately, I resolved to enter, and, for the first time in human history, map its interior. My life seemed a small thing to risk when weighed against such a tremendous endeavor.
lore_id_20_title;Page 1
lore_id_21_text;My friends took me on a long trip to visit a cave. They said the bad people were inside the cave and said for me to go in. I went in the cave and it was dark and I got lost but I found the bad things and I killed the things. I killed for a long time but there were a lot of bad things. I got very tired and the bad things were hurting me. The bad things hurt me for a long time but then I got sleepy and I went to sleep.
lore_id_21_title;Page 3
lore_id_22_text;So, as you might imagine, when I heard about all the amazing beasties in the Ancient Dungeon…well, I couldn't resist. I made my way there with every instrument and tool I could handle. I planned to study each and every one of them and, if any were nice and soft and non-violent, hug the absolute bejeezus out of it!  The young blacksmith outside the dungeon said my plan was suicide, but that's “people” for you, always trying to put each other down.
lore_id_22_title;Page 2
lore_id_23_text;The debasement of our lowly flesh is the greatest display of a man’s devotion to the divine. Though others of my order suck at their teeth when contemplating the practice, I embraced it whole-heartedly from an early age. Thrice daily I rent the flesh of my back, until the pain of it faded to nearly nothing, entirely overshadowed by the divine joy the practice imparted to me. My devotion did not go unnoticed, and I ascended the ranks of the Divine Order quickly.
lore_id_23_title;Page 1
lore_id_24_text;On my very first day inside, I met Clarence. He was ADORABLE! He followed me around like a gooey little green puppy and he LOVED TO CUDDLE! Every time I turned around he had glommed onto me somewhere, making happy little burbling sounds. Sure, Clarence put some holes in my outfit, but he was just having fun. We made a great team! We spent days and days gathering notes about his friends, watching them, dissecting them…it's really sad it all ended so suddenly.
lore_id_24_title;Page 3
lore_id_2_text;I am not smart, but I am big. I was big when I was little and I was bigger when I was not little. Town people like me when I pick things up for them, but they don't like me when I am hungry. Town people made me leave and I was very hungry. I was alone for a long time but I found new people. The new people have swords and armor and they like to fight bad people. They gave me a sword and let me fight the bad people. I am big and strong and good at fighting.
lore_id_2_title;Page 1
lore_id_30_text;After scrabbling fruitlessly at the earthen walls for a few moments, I decided to explore further into the cave. Led only by touch, I felt earth turn to worked stone, and realized my situation with jarring clarity: I had been ensnared by the Ancient Dungeon. Despite its long absence, the dungeon’s existence was uncontested by the historians of the Grand Library. There was only one great labyrinth known to be churning below the earth, and I was in it.
lore_id_30_title;Page 2
lore_id_31_text;Immediately, problems presented themselves. Not only did the dungeon contain numerous hostile creatures (all of whom I ran from rather than engage), but much worse, the corridors I mapped seemed to wrap and twist among each other like a mass of knotted rope. The further I went, the more inexplicable my map became. After weeks of desperate survival, I became certain of a terrifying truth: the dungeon was moving.
lore_id_31_title;Page 2
lore_id_32_text;It was no surprise when I was selected to eradicate the unholy taint of the Ancient Dungeon. My military prowess was only narrowly surpassed by my faith. I was a formidable foe in battle. As I ventured within that heretical tomb of evil, I felt the thick bed of scars upon my back loosen and warm, as though the divines themselves had draped a blessed shroud upon me. My success was assured, I thought, and so I fought through the halls with zealous abandon.
lore_id_32_title;Page 2
lore_id_33_text;I did not despair: I exulted. Despite all their machinations, the Grand Library could not keep me from great works! With some difficulty, I began gathering up every sprout, fungus, and weed I came across. All were steeped in the magic of the dungeon, and the potions I brewed with them were wondrous! Imbued beyond mortal boundaries, every danger of my new home was inconsequential. I walked the corridors of the Ancient Dungeon without fear, like a lord in his castle. In reality, I was an interloper, and my intrusion did not go unnoticed.
lore_id_33_title;Page 3
lore_id_34_text;I died. I…I don't understand, how could I be dead? I'm the greatest hunter that ever lived! What happened? It's all fuzzy in my head. Okay, okay…just think. I remember digging back into the dungeon…talking to a few idiots who must have lucked their way out…then I got in…and…nothing. Just dead. Wait…WAIT! Did one of those idiots sneak up on me and kill me? That must be it. It's the only way any of this makes sense…
lore_id_34_title;Page 1
